GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
G40046050,"40","46050","02410917","4046050",Mangum,Mangum city,"25",C1,N,N,G4110,A,4360105.00000000000,0.00000000000,"+34.8785739","-099.5038940",13548.49431110000,4360101.94249000028
G40046650,"40","46650","02412958","4046650",Marshall,Marshall town,"43",C1,N,N,G4110,A,1646298.00000000000,0.00000000000,"+36.1496834","-097.6232442",19134.99254570000,1646299.66286000004
G40046700,"40","46700","02412960","4046700",Martha,Martha town,"43",C1,N,N,G4110,A,652955.00000000000,0.00000000000,"+34.7259828","-099.3866574",4355.95984811000,652956.56153399998
G40047000,"40","47000","02412964","4047000",May,May town,"43",C1,N,N,G4110,A,442832.00000000000,0.00000000000,"+36.6167084","-099.7486364",3043.53924037000,442834.14451399999
G40047300,"40","47300","02411068","4047300",Medford,Medford city,"25",C1,N,N,G4110,A,2795402.00000000000,0.00000000000,"+36.8033955","-097.7378356",18128.51476420000,2795400.12105000019
G40047750,"40","47750","02412983","4047750",Meno,Meno town,"43",C1,N,N,G4110,A,496800.00000000000,0.00000000000,"+36.3881952","-098.1779254",3475.16666160000,496800.27093900001
G40049650,"40","49650","02413022","4049650",Mountain View,Mountain View town,"43",C1,N,N,G4110,A,1473845.00000000000,0.00000000000,"+35.0995160","-098.7497493",10969.55925350000,1473839.85768999998
G40050250,"40","50250","02629932","4050250",Nardin,Nardin CDP,"57",U1,N,N,G4210,S,2692828.00000000000,0.00000000000,"+36.8040910","-097.4498679",8624.49956563000,2692828.48803000012
G40050300,"40","50300","02413033","4050300",Nash,Nash town,"43",C1,N,N,G4110,A,858582.00000000000,0.00000000000,"+36.6650479","-098.0519663",5458.11184824000,858582.14926600002
G40051300,"40","51300","02411246","4051300",Newkirk,Newkirk city,"25",C1,N,N,G4110,A,3508390.00000000000,0.00000000000,"+36.8817970","-097.0552919",14937.71305140000,3508386.37608999992
G40052600,"40","52600","02413053","4052600",North Enid,North Enid town,"43",C1,N,N,G4110,A,6064077.00000000000,0.00000000000,"+36.4458380","-097.8633862",12753.65030410000,6064078.97420999967
G40053600,"40","53600","02413070","4053600",Oakwood,Oakwood town,"43",C1,N,N,G4110,A,612863.00000000000,0.00000000000,"+35.9316156","-098.7030876",3191.79198853000,612867.10053800000
G40054150,"40","54150","02413076","4054150",Okeene,Okeene town,"43",C1,N,N,G4110,A,5862489.00000000000,0.00000000000,"+36.1170765","-098.3167339",13894.22284020000,5862490.71745999996
G40057900,"40","57900","02805347","4057900",Peckham,Peckham CDP,"57",U1,N,N,G4210,S,476581.00000000000,0.00000000000,"+36.8866524","-097.1780561",3110.35376196000,476581.58482200000
G40061650,"40","61650","02412522","4061650",Ralston,Ralston town,"43",C1,N,N,G4110,A,1195153.00000000000,0.00000000000,"+36.5034749","-096.7373802",5389.59426021000,1195155.44806999993
G40063100,"40","63100","02412546","4063100",Reydon,Reydon town,"43",C1,N,N,G4110,A,1278062.00000000000,0.00000000000,"+35.6498124","-099.9236096",6031.88688362000,1278060.13465999998
G40063450,"40","63450","02412553","4063450",Ringwood,Ringwood town,"43",C1,N,N,G4110,A,2153199.00000000000,1382.00000000000,"+36.3835835","-098.2399655",7172.60074747000,2154580.87257000012
G40064050,"40","64050","02412579","4064050",Rosston,Rosston town,"43",C1,N,N,G4110,A,710065.00000000000,0.00000000000,"+36.8128965","-099.9327462",3744.27379045000,710065.34440499998
G40066300,"40","66300","02805354","4066300",Selman,Selman CDP,"57",U1,N,N,G4210,S,615971.00000000000,0.00000000000,"+36.8014131","-099.4893222",3092.00050315000,615970.17646600003
G40066650,"40","66650","02413277","4066650",Sharon,Sharon town,"43",C1,N,N,G4110,A,352919.00000000000,0.00000000000,"+36.2754924","-099.3381343",2619.79588445000,352920.09186400002
G40070950,"40","70950","02413344","4070950",Strong City,Strong City town,"43",C1,N,N,G4110,A,1289995.00000000000,0.00000000000,"+35.6698402","-099.6004485",4839.21769864000,1289994.24958000006
G40073150,"40","73150","02413380","4073150",Texola,Texola town,"43",C1,N,N,G4110,A,1586069.00000000000,0.00000000000,"+35.2224618","-099.9929591",9216.21017629000,1586069.95851000003
G40073450,"40","73450","02412061","4073450",Thomas,Thomas city,"25",C1,N,N,G4110,A,2976830.00000000000,0.00000000000,"+35.7451922","-098.7451164",11037.40826280000,2976823.08535999991
G40074150,"40","74150","02412083","4074150",Tonkawa,Tonkawa city,"25",C1,N,N,G4110,A,11283104.00000000000,125590.00000000000,"+36.6705892","-097.3150280",61507.67852790000,11408699.76610000059
G40075200,"40","75200","02629938","4075200",Turpin,Turpin CDP,"57",U1,N,N,G4210,S,2588335.00000000000,0.00000000000,"+36.8704575","-100.8825017",6430.86536375000,2588336.24014999997
G40077300,"40","77300","02413432","4077300",Vici,Vici town,"43",C1,N,N,G4110,A,1124294.00000000000,0.00000000000,"+36.1488099","-099.2994327",7023.49953020000,1124293.20289999992
G40077950,"40","77950","02413439","4077950",Wakita,Wakita town,"43",C1,N,N,G4110,A,806327.00000000000,0.00000000000,"+36.8818603","-097.9239483",5012.00080767000,806326.93926000001
G40078750,"40","78750","02805360","4078750",Washita,Washita CDP,"57",U1,N,N,G4210,S,1486084.00000000000,0.00000000000,"+35.1044068","-098.3413376",6078.61440222000,1486082.67044000002
G40081300,"40","81300","02413491","4081300",Willow,Willow town,"43",C1,N,N,G4110,A,678838.00000000000,0.00000000000,"+35.0515312","-099.5098983",4092.67796066000,678838.04590499995
G48001324,"48","01324","02409665","4801324",Adrian,Adrian city,"25",C1,N,N,G4110,A,1217792.00000000000,0.00000000000,"+35.2741188","-102.6672465",6582.88849525000,1217792.25858999998
G48001612,"48","01612","02805780","4801612",Alanreed,Alanreed CDP,"57",U1,N,N,G4210,S,1191506.00000000000,597.00000000000,"+35.2119872","-100.7326292",4986.98818153000,1192103.62091000006
G48001648,"48","01648","02409676","4801648",Albany,Albany city,"25",C1,N,N,G4110,A,4057325.00000000000,0.00000000000,"+32.7272659","-099.2956638",17378.23118250000,4057327.27530999994
